latitude;longitude;category;type;name;acronym;url
45.463524;0.854386;MEDI;Hôpital;MPR - CHU Martinique;/;https://www.chu-martinique.fr/ (dans un nouvel onglet)
48.826406;1.6351124;MEDI;Hôpital universitaire;PMPR ergothérapie - Fondation Mallet;/;https://www.fondationmallet.fr/ (dans un nouvel onglet)
47.9869575;-4.0901539;MEDI;Hôpital;Pole Keraman APF France Handicap;/;Association APF France handicap
47.576923;6.756391;CITZ;Réseau d’innovation / Collectivité;Pôle Santé - CMPR Bretegnier;/;CMPR Bretegnier - Pôle santé - Fondation Arc-en-ciel
45.8847264;1.2427238;MEDI;Hôpital;R3aDapt'lab - IEM - APF Limoges 87;/;https://www.iem87apffrancehandicap.com/
47.730771;-3.477547;CITZ;Réseau d’innovation / Collectivité;"REHAB-LAB ""I-LABO"" - IEM OLBIA";/;/
47.7438362;-3.401835;ENAB;Réseau d’innovation / Collectivité;REHAB-LAB - Labo des possibles;/;https://www.crscopoly.com/labo-des-possibles-scopoly 
43.7231535;7.2840505;ENAB;Réseau d’innovation / Collectivité;REHAB-LAB CIUS Nice - Centre d'Innovation et d'Usages en Santé;/;Home | CIUS
48.8384477;2.171318;ENAB;Réseau d’innovation / Collectivité;REHAB-LAB Garches - CHU Garches;/;https://raymondpoincare.aphp.fr/ 
49.316209;2.449778;MEDI;Hôpital universitaire;REHAB-LAB Institut Universitaire de Réadaptation Clémenceau - IURC;/;Pôle IURC site de Strasbourg à STRASBOURG | GROUPE UGECAM
49.3132496;2.44923;PRSC;Centre de recherche;REHAB-LAB Mini-Makers Cauffry - Pôle enfance SEM - APF Cauffry;/;SEM Cauffry - APF France handicap - Taxe Apprentissage
49.4048606;2.8070725;CITZ;Réseau d’innovation / Collectivité;REHAB-LAB Mini-Makers Compiègne - Pôle enfance SESSAD - APF Compiègne;/;Association APF France handicap
42.675892;9.436851;CITZ;Réseau d’innovation / Collectivité;REHAB-LAB Richelieu - CRF Richelieu - Croix rouge;/;Centre Richelieu - Croix Rouge Française - La Rochelle (17) - Charente-Maritime
42.6799626;9.42796;MEDI;Hôpital;REHAB-LAB SAVS APF Cismonte - SAVS - APF Cismonte;/;Savs apf cismonte - Savs apf cismonte - Bastia | Santé.fr
49.628329;6.174273;CITZ;Réseau d’innovation / Collectivité;REHAB-LAB Toulouse Lautrec - SESSAD - EREA Toulouse Lautrec;/;Sessad erea toulouse lautrec pep 92 | Santé.fr
49.6277021;6.1714722;ENAB;Réseau d’innovation / Collectivité;REHAZENTER;/;Accueil - Rehazenter
44.3570867;25.952552;ENAB;Réseau d’innovation / Collectivité;Rehab Lab Motivation - 3D assistive devices for wheelchair users - Motivation Romania Foundation;/;https://www.motivation.ro/en (dans un nouvel onglet)
45.1778415;5.7611;CITZ;Réseau d’innovation / Collectivité;Rehab-Lab - centre médical Rocheplane;/;http://www.rocheplane.org/ (dans un nouvel onglet)
50.8631502;4.377666;ENAB;Réseau d’innovation / Collectivité;RéCI Bruxelles - RéCI;/;https://www.reci-bruxelles.be/ 
48.4325019;1.5060141;ENAB;Réseau d’innovation / Collectivité;SAMSAH APF France handicap Chartres;/;https://taxe-apprentissage.apf-francehandicap.org/structure/sessad-chartres/
48.4304893;-4.4628258;CITZ;Réseau d’innovation / Collectivité;SESSAD Finistère - APF 29;/;https://sessadapf29.weebly.com/ 
28.3780464;83.9999901;CITZ;Réseau d’innovation / Collectivité;SIRC Nepal - SIRC Rehab-Lab;/;https://www.sirc.org.np/ 
43.926309;2.131795;CITZ;Réseau d’innovation / Collectivité;Service d'Ergothérapie - PÔLE DE RÉADAPTATION DE CORNOUAILLE;/;Pôle de Réadaptation de Cornouaille - Concarneau à CONCARNEAU | GROUPE UGECAM
47.350578;1.155357;MEDI;Hôpital;Service d'ergothérapie - REHAB-LAB CRMF ALBI VYV3;/;https://www.facebook.com/CMRF.Albi/ 
47.3508462;1.1564704;ENAB;Réseau d’innovation / Collectivité;Service d'ergothérapie - SMR de la Menaudière;/;https://proximite.mgen.fr/212-etablissement-smr-de-la-menaudiere 
47.964537;0.2210514;MEDI;Hôpital;Service d'ergothérapie - SOSAN SMR;/;https://www.sosan.fr/soins-medicaux-et-de-readaptation/ (dans un nouvel onglet)
45.8187833;1.2471594;MEDI;Hôpital;Service de Réadaptation Visuelle - Hôpital de Jour Baudin - Limoges;/;https://www.mutualitelimousine.fr/hospitalisation-readaptation/hopital-de-jour-baudin 
49.4986599;0.1124635;MEDI;Hôpital;Service de médecine physique et de réadaptation - Groupe Hospitalier du Havre;/;Accueil – Groupe Hospitalier du Havre - Groupe Hospitalier du Havre
46.064571;11.2491669;MEDI;Hôpital;Villa Rosa Rehab-Lab - Rehabilitation Hospital - Villa Rosa;/;https://www.apss.tn.it/Azienda/Unita-operative-e-strutture/Unita-operativa-riabilitazione-ospedaliera-Villa-Rosa (dans un nouvel onglet)
41.5904146;1.6191097;MEDI;Hôpital;Àuria Fundació;/;https://www.auriagrup.cat/
41.0862897;14.3382389;CITZ;Réseau d’innovation / Collectivité;Caserta Local Health Authority – Frailty Department (Caserta ASL);/;www.aslcaserta.it
53.3693625;-6.1956206;MEDI;Hôpital;Central Remedial Clinic;;https://www.crc.ie/
39.4779798;-0.360087;MEDI;Hôpital;ESAAC;/;http://www.esaac.es/ 
44.629398;10.948271;ENAB;Réseau d’innovation / Collectivité;Scuola universitaria professionale della Svizzera italiana (SUPSI);/;Scuola universitaria professionale della Svizzera italiana - SUPSI
44.6291028;10.948968;PRSC;Université;UNIMORE;/;Home page | Università degli Studi di Modena e Reggio Emilia
